DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240112869,06/14/2024 12:00:00 AM,06/14/2024 12:00:00 AM,1618,01,Central,0161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,0,X,X,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
240105364,01/20/2024 12:00:00 AM,01/20/2024 12:00:00 AM,1100,01,Central,0176,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,700 S  LOS ANGELES                  ST,,34.0432,-118.2504
240105686,01/24/2024 12:00:00 AM,01/20/2024 12:00:00 AM,1700,01,Central,0105,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,400    SOLANO                       AV,,34.071,-118.2302
240110268,04/14/2024 12:00:00 AM,04/13/2024 12:00:00 AM,1928,01,Central,0161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2028,25,M,H,406,OTHER STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
240112608,06/10/2024 12:00:00 AM,06/07/2024 12:00:00 AM,1700,01,Central,0185,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,,,IC,Invest Cont,420,,,,1100 S  MAIN                         ST,,34.0391,-118.2582
240120917,11/08/2024 12:00:00 AM,11/04/2024 12:00:00 AM,1700,01,Central,0129,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,32,M,C,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,420,,,,JACKSON,VIGNES,34.0511,-118.2334
240111725,05/22/2024 12:00:00 AM,05/16/2024 12:00:00 AM,2030,01,Central,0192,2,649,DOCUMENT FORGERY / STOLEN FELONY,0923,22,M,A,707,GARAGE/CARPORT,,,IC,Invest Cont,649,,,,1400 S  FIGUEROA                     ST,,34.0391,-118.269
240115213,07/23/2024 12:00:00 AM,07/23/2024 12:00:00 AM,0910,01,Central,0119,2,888,TRESPASSING,0910 1501,0,X,X,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
240108035,02/27/2024 12:00:00 AM,02/26/2024 12:00:00 AM,2240,01,Central,0164,1,648,ARSON,1501,0,X,X,101,STREET,,,IC,Invest Cont,648,,,,600 S  MAIN                         ST,,34.0453,-118.2499
240107491,02/17/2024 12:00:00 AM,02/17/2024 12:00:00 AM,0200,01,Central,0155,1,330,BURGLARY FROM VEHICLE,1300 1609 0358 1302 0329 1307 0344,28,F,B,101,STREET,,,IC,Invest Cont,330,,,,500 S  LOS ANGELES                  ST,,34.0461,-118.2475
240116074,08/04/2024 12:00:00 AM,08/04/2024 12:00:00 AM,0745,01,Central,0119,2,888,TRESPASSING,0910,0,X,X,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
240104602,01/09/2024 12:00:00 AM,01/09/2024 12:00:00 AM,1645,01,Central,0152,2,624,BATTERY - SIMPLE ASSAULT,1822 0446 0445 0400 0440 0416 0429 0417,55,F,A,738,LIBRARY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,600 W  5TH                          ST,,34.0502,-118.2539
240120994,11/10/2024 12:00:00 AM,11/08/2024 12:00:00 AM,1023,01,Central,0154,1,330,BURGLARY FROM VEHICLE,0344,63,M,X,108,PARKING LOT,,,IC,Invest Cont,330,,,,500 S  MAIN                         ST,,34.0467,-118.2485
240119290,10/01/2024 12:00:00 AM,10/01/2024 12:00:00 AM,1525,01,Central,0161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1822,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
240109080,03/15/2024 12:00:00 AM,03/14/2024 12:00:00 AM,0620,01,Central,0119,2,888,TRESPASSING,2048 0910,0,X,X,900,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
240108611,03/06/2024 12:00:00 AM,02/05/2024 12:00:00 AM,2200,01,Central,0156,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1821,23,F,H,517,MISSIONS/SHELTERS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,500 S  SAN PEDRO                    ST,,34.0437,-118.2455
240109146,03/17/2024 12:00:00 AM,03/17/2024 12:00:00 AM,1230,01,Central,0192,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,PICO,GRAND,34.0389,-118.2643
240104677,01/10/2024 12:00:00 AM,01/10/2024 12:00:00 AM,1600,01,Central,0118,2,624,BATTERY - SIMPLE ASSAULT,1259 0446 0416 0419 0511,13,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1400    MAGDALENA                    ST,,34.0641,-118.2302
240118063,09/07/2024 12:00:00 AM,09/07/2024 12:00:00 AM,1005,01,Central,0111,1,510,VEHICLE - STOLEN,,0,,,301,GAS STATION,,,IC,Invest Cont,510,,,,900 N  ALAMEDA                      ST,,34.0615,-118.2412
240118519,09/14/2024 12:00:00 AM,09/14/2024 12:00:00 AM,0135,01,Central,0161,1,330,BURGLARY FROM VEHICLE,1300 0344 1307 0329,31,F,W,101,STREET,,,IC,Invest Cont,330,,,,1000 W  8TH                          ST,,34.0487,-118.2627
240117145,08/19/2024 12:00:00 AM,08/16/2024 12:00:00 AM,1300,01,Central,0142,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,400 W  5TH                          ST,,34.0519,-118.2531
240107872,02/25/2024 12:00:00 AM,02/16/2024 12:00:00 AM,1600,01,Central,0164,1,210,ROBBERY,0355,24,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,210,,,,00 E  6TH                          ST,,34.0446,-118.2507
240109777,03/31/2024 12:00:00 AM,03/31/2024 12:00:00 AM,0230,01,Central,0111,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416,26,F,H,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,BROADWAY,COLLEGE,34.064,-118.2375
240108434,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1510,01,Central,0124,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,717,HEALTH SPA/GYM,,,AA,Adult Arrest,740,,,,SPRING                       ST,TEMPLE                       ST,34.0549,-118.2426
240106814,02/08/2024 12:00:00 AM,02/07/2024 12:00:00 AM,2000,01,Central,0135,1,330,BURGLARY FROM VEHICLE,1305 1609 1300 0329 1307 0344,35,M,W,101,STREET,,,IC,Invest Cont,330,,,,4TH                          ST,MAIN                         ST,34.0477,-118.2467
240112156,05/31/2024 12:00:00 AM,05/31/2024 12:00:00 AM,0603,01,Central,0119,2,888,TRESPASSING,0910 2004,0,M,O,900,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
240111905,05/27/2024 12:00:00 AM,05/25/2024 12:00:00 AM,0015,01,Central,0161,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,900 W  7TH                          ST,,34.0494,-118.2599
